ID	PGx Level	Source	Title	Genes	Drugs
PA166273261		EMA	Annotation of EMA Label for ospemifene and CYP2B6, CYP2C9	CYP2B6; CYP2C9	ospemifene
PA166104917	No Clinical PGx	FDA	Annotation of FDA Label for prasugrel and CYP2B6, CYP2C19, CYP2C9, CYP3A5	CYP2B6; CYP2C19; CYP2C9; CYP3A5	prasugrel
PA166183181	Actionable PGx	EMA	Annotation of EMA Label for lesinurad and CYP2C9	CYP2C9	lesinurad
PA166184385	Informative PGx	Swissmedic	Annotation of Swissmedic Label for lesinurad and CYP2C9	CYP2C9	lesinurad
PA166184345	Actionable PGx	Swissmedic	Annotation of Swissmedic Label for phenytoin and CYP2C9, HLA-B	CYP2C9; HLA-B	phenytoin
PA166184388	Actionable PGx	Swissmedic	Annotation of Swissmedic Label for losartan and CYP2C9, CYP3A4	CYP2C9; CYP3A4	losartan
PA166269121	Informative PGx	FDA	Annotation of FDA Label for nateglinide and CYP2C9	CYP2C9	nateglinide
PA166182766	Actionable PGx	FDA	Annotation of FDA Label for fosphenytoin and CYP2C9, HLA-B	CYP2C9; HLA-B	fosphenytoin
PA166182722	Actionable PGx	FDA	Annotation of FDA Label for erdafitinib and CYP2C9	CYP2C9	erdafitinib
PA166400401	Informative PGx	EMA	Annotation of EMA Label for seladelpar and CYP2C9	CYP2C9	seladelpar
PA166345321	Actionable PGx	HCSC	Annotation of HCSC Label for glyburide and CYP2C9	CYP2C9	glyburide
PA166400441	Actionable PGx	FDA	Annotation of FDA Label for seladelpar and CYP2C9	CYP2C9	seladelpar
PA166278581	Testing Required	HCSC	Annotation of HCSC Label for siponimod and CYP2C9	CYP2C9	siponimod
PA166182738	Testing Required	FDA	Annotation of FDA Label for siponimod and CYP2C9	CYP2C9	siponimod
PA166153432	Informative PGx	FDA	Annotation of FDA Label for flibanserin and CYP2C9, CYP2D6	CYP2C9; CYP2D6	flibanserin
PA166184917	Informative PGx	FDA	Annotation of FDA Label for avatrombopag and CYP2C9	CYP2C9	avatrombopag
