Feature,SHAP_Importance,RF_Importance
Max_REVEL,0.055516228128074066,0.11214815024364519
Has_SRS1,0.041653480942712734,0.05367172529900265
REVEL1,0.03515804639118948,0.072732902870596
CADD1,0.030965863558735835,0.07373816940927197
Max_Charge,0.029970897046989867,0.040044548812314576
REVEL2,0.0261037967931599,0.05491250714735592
Charge2,0.026057837460285175,0.028257720518693078
Has_Charge_Change,0.024513043510424916,0.027281601579108843
Dist_Heme2,0.022544651221775028,0.043819822964726994
Max_CADD,0.02107950010444727,0.058174433792443386
Max_Grantham,0.017648858619460805,0.03989883341550617
Dist_SRS2,0.016603807044146254,0.027753338462891835
Combined_Severity,0.01569821298554694,0.02607647798625135
CADD2,0.015680360922334928,0.03609432410495478
Dist_SRS1,0.014388705745802182,0.024588661060901375
Grantham1,0.01179747152915775,0.03749968693614034
Max_SpliceAI,0.01064527726871493,0.013940723044512295
Min_Dist_SRS,0.009826884107821116,0.01798847883769547
Min_Dist_Heme,0.008611727547681683,0.019913181687142553
Grantham2,0.00849944748558448,0.02588221100416368
Max_Severity,0.008163025618727532,0.012148128441652657
Dist_Heme1,0.00738394203613821,0.02004283830365806
Combined_Grantham,0.006387487111012002,0.029097758357428987
Charge1,0.0062164228952504555,0.01067072380874064
SpliceAI1,0.004179785830007015,0.0074452116700279136
Physico_Score,0.004065122750408672,0.011092054808483798
Hydro2,0.003908071145334485,0.007546353944174708
Hydro1,0.003807542599652227,0.00871797366486854
Has_Any_SRS,0.0037355383148552413,0.004484476720749383
Has_SRS4,0.003428303186469547,0.005166172558588104
SpliceAI2,0.0031778708702632865,0.005419673011672696
Size1,0.0023822997459950006,0.0062295366837455905
Size2,0.00204542903974521,0.0063219748793017835
Max_Size,0.001728897817544202,0.006218172075222872
Has_Conservative,0.0016948485690405852,0.004694242200165775
is_frameshift,0.001659198855373759,0.003156461012318631
Has_SRS6,0.0013632703228543563,0.0023976219038766835
Has_Hydro_Change,0.0013010862050074705,0.003181657772364125
Max_Hydro,0.0012367604547762106,0.0034428649754055306
Has_Radical,0.0011052039495533551,0.002611134292393904
Has_SRS5,0.000965988788365435,0.0026228141842871344
Has_SRS2,0.000572759255934208,0.0011617189642955889
is_truncating,0.0003560113236056805,0.0005658075868370696
Has_Size_Change,0.0003360816301570438,0.0009031196026185823
is_missense,0.00010354148018795535,0.00024400939980282458
Near_Heme,0.0,0.0
is_splice,0.0,0.0
is_deletion,0.0,0.0
