Feature,SHAP_Importance,SVM_Importance
CADD1,0.09998086820056594,0.09998086820056594
Charge2,0.05190781352233359,0.05190781352233359
Physico_Score,0.04618938271755633,0.04618938271755633
Charge1,0.03943399603729483,0.03943399603729483
Has_SRS1,0.03292702762380337,0.03292702762380337
Min_Dist_Heme,0.031546263409934244,0.031546263409934244
Has_Radical,0.029496400820202613,0.029496400820202613
CADD2,0.019445957138249762,0.019445957138249762
Grantham1,0.01896613846696909,0.01896613846696909
Max_Charge,0.018009417028841818,0.018009417028841818
Combined_Grantham,0.016860563715009644,0.016860563715009644
Max_Size,0.016027414197028075,0.016027414197028075
REVEL2,0.015721011860853094,0.015721011860853094
Has_Conservative,0.014339207679181709,0.014339207679181709
Has_SRS5,0.014294689332878982,0.014294689332878982
Max_SpliceAI,0.010292360173789896,0.010292360173789896
Dist_SRS1,0.010051502466424158,0.010051502466424158
SpliceAI2,0.009766636275468456,0.009766636275468456
Has_SRS4,0.009635382777693161,0.009635382777693161
Dist_Heme1,0.009205421682619041,0.009205421682619041
Max_CADD,0.007832242120383607,0.007832242120383607
Max_Severity,0.0075126526659263495,0.0075126526659263495
REVEL1,0.0067337923650156,0.0067337923650156
Size1,0.006424816714540566,0.006424816714540566
Dist_SRS2,0.00539313249874276,0.00539313249874276
Has_Charge_Change,0.005322668753388271,0.005322668753388271
Hydro2,0.004934872875084259,0.004934872875084259
Max_REVEL,0.004816753552299893,0.004816753552299893
Hydro1,0.004773901950427745,0.004773901950427745
Grantham2,0.004722857729412131,0.004722857729412131
Max_Grantham,0.004562283356173061,0.004562283356173061
Has_Any_SRS,0.0042205359301473065,0.0042205359301473065
Has_SRS6,0.003964073206361166,0.003964073206361166
is_frameshift,0.0038111549758352036,0.0038111549758352036
Combined_Severity,0.003804160520079805,0.003804160520079805
is_truncating,0.0037287491352321557,0.0037287491352321557
Max_Hydro,0.003381520224149351,0.003381520224149351
Min_Dist_SRS,0.003304632023208322,0.003304632023208322
Has_Size_Change,0.002921661081481369,0.002921661081481369
Dist_Heme2,0.0029102547457051675,0.0029102547457051675
Size2,0.0025981332858996432,0.0025981332858996432
SpliceAI1,0.0023460262572898628,0.0023460262572898628
Has_Hydro_Change,0.0019645413832458007,0.0019645413832458007
is_missense,0.0016151406231307297,0.0016151406231307297
Has_SRS2,0.0015116165512935014,0.0015116165512935014
Near_Heme,0.0,0.0
is_splice,0.0,0.0
is_deletion,0.0,0.0
